GT3 Compressor Inlet Temperature {Avg},GT3 IGV angle in deg {Avg}
115.806021,50.60220048
115.6471805,51.42344184
115.6279185,50.66880661
115.4609273,51.17929468
115.1682315,51.7231562
115.079868,51.79616704
114.8258277,50.83414351
114.7643255,52.15791166
114.6706854,50.91369723
114.533058,51.66700108
114.1215532,51.94429327
113.7986113,51.67787628
113.7826388,51.58762847
113.5155057,51.72285
113.3112531,51.88763739
112.7805418,50.59754153
112.5991269,51.27543118
112.2657041,51.32694473
112.1213891,51.23472085
111.926039,51.08544744
111.7160283,51.43241675
111.4768784,51.26971338
111.3396856,51.27589125
111.2714411,51.14236843
111.0936339,51.1362281
110.8052621,51.04893163
110.597084,51.47337607
110.477603,50.48835724
110.2224631,50.48179404
110.204823,50.9608556
110.0821007,50.60437285
110.0688709,50.56899976
110.002073,50.89130176
109.9830102,50.61817896
109.968674,50.75474036
109.9096774,50.9077977
109.8597321,51.06363437
109.8160026,51.64893239
109.6542722,51.06921184
109.4371153,51.12479084
109.2331148,51.4243685
109.0214862,51.11762373
109.016263,51.42883832
108.8651581,51.07015474
108.8496098,51.20357139
108.7904037,50.70622114
108.7390924,50.06703895
108.6708465,50.5358421
108.6555505,51.00080259
108.6489318,50.94150189
108.6436675,50.5017027
108.5699727,51.15516729
108.5467795,50.9245391
108.5255376,51.20079493
108.4824967,50.97521788
108.352523,50.00939124
108.2782975,50.79944271
108.2272291,51.44671762
108.1807658,51.31323609
108.1587803,51.05410476
108.1049414,50.524129
108.1025946,51.45118744
108.0994703,50.33464865
108.0781168,51.23611497
108.0533772,50.74390481
107.9985827,50.56202507
107.97796,51.45565726
107.9692963,51.4732686
107.9648924,50.37254472
107.9243566,50.67950202
107.795336,49.89456611
107.7930826,50.41044079
107.7844703,50.738993
107.7599356,50.77324548
107.7567453,51.46906674
107.694627,49.89409582
107.6701622,50.2842027
107.6691491,51.19119557
107.6650375,50.14119433
107.6584883,50.51758764
107.3881829,50.27326947
107.3169024,50.3909916
107.2122104,51.06050163
107.2038217,50.29379308
107.0848615,50.84703151
106.9761379,51.01587682
106.9524057,51.10512643
106.9139849,50.90914917
106.723213,50.58270397
106.532916,51.14975124
106.5315712,50.14167439
106.5109709,50.80734095
106.5027786,50.03676677
106.4395759,50.65584708
105.605418,49.80379258
105.5869676,51.31637064
105.0721822,49.74541766
