GT4 Compressor Inlet Temperature {Avg},GT4 IGV angle in deg {Avg}
109.5121843,50.80062844
109.439986,50.89335298
109.4154337,51.12885146
109.290331,50.98607753
109.1771818,51.98487178
109.1746908,50.70790389
109.1316294,51.89806279
109.0220334,51.50972222
108.9946547,52.08735144
108.942058,51.68509139
108.8605908,50.61517935
108.7641666,51.17735538
108.7545979,50.54096503
108.7401346,51.64936518
108.7358971,51.93237882
108.7290815,51.91509531
108.7237685,51.98545863
108.4863265,51.98835847
108.4858875,51.94594978
108.47625,51.61334156
108.4519292,52.08467778
108.4476673,51.89245033
108.4084564,51.83401744
108.3829914,51.5651533
108.3709209,52.12070646
108.3654585,52.07846693
108.328144,51.74145048
108.3191716,51.95021787
108.2488069,52.36826065
108.2339165,51.48822552
108.2094919,51.71379874
108.1958117,52.09509229
108.1443589,51.10697977
108.1394285,51.79944203
108.1284218,52.11485313
108.1176628,51.66152981
108.1071185,51.6176314
108.0759752,51.43477401
108.0491961,51.54167703
108.0028291,51.93585913
107.9304215,51.7220851
107.9161125,51.51696505
107.9112252,52.18846728
107.9092617,51.98412602
107.8644757,51.59512854
107.855332,52.17147523
107.8453847,52.06870873
107.8078172,52.29575966
107.7773372,52.56706662
107.7706078,52.03018352
107.7528909,52.10993664
107.6986154,52.11343986
107.6703381,51.64858006
107.6569205,52.11793122
107.65197,52.07258027
107.5977163,52.01517298
107.5886724,51.4687768
107.4993518,52.0180302
107.4473424,51.70203157
107.4349112,51.61179751
107.4245258,52.10248227
107.4141026,51.95432451
107.3586035,52.50126025
107.3441388,51.76214774
107.3215975,52.26256404
107.2776238,51.42058855
107.2755044,51.81744006
107.2199575,51.75548308
107.1872397,51.78571766
107.1778144,52.05788212
107.1473788,51.92992133
107.1200437,52.42080915
107.1144045,51.83416738
107.1135421,51.7501742
107.0902334,52.05193438
107.0777017,52.0264402
107.0365214,52.68559872
107.0235534,51.55934103
106.9665753,51.85904033
106.9596615,51.66618101
106.9589769,52.16981445
106.9508918,52.23253665
106.9213555,52.35509152
106.9013324,51.91816056
106.8948987,51.7010591
106.8693098,51.40723719
106.8379531,52.08583856
106.7979997,51.90624784
106.7762906,51.58218783
106.7524148,52.34167156
106.748292,51.53558747
106.740292,51.84466968
106.7149531,51.69185475
106.6469684,52.11974274
106.612492,52.33027683
106.6073352,51.82874454
106.5991168,52.50950954
106.5845007,52.28726251
106.5692513,52.37801728
106.4917811,52.03209272
106.4861053,51.49819465
106.4811007,51.71806502
106.452377,52.17334265
106.4315923,51.39133635
106.3837939,51.67507063
106.3706591,51.76071736
106.3531942,51.84636409
106.3414084,51.5894239
106.3184558,51.77280974
106.2785951,51.50377716
106.2755757,51.93201083
106.2752425,51.44584289
106.2587436,51.75941803
106.2307173,51.9484533
106.2125299,52.04226659
106.1802568,51.62408938
106.0740848,51.58028849
106.072892,51.58297499
106.0498789,51.512939
106.0429519,51.51183392
106.037243,51.22708934
106.0293344,51.59152288
106.0213171,51.97811452
106.0082041,52.01765756
106.0020914,51.84255521
105.999381,51.69690172
105.9917112,51.88290605
105.9887554,52.00359175
105.9886884,51.41420146
105.9840085,51.80234501
105.9350009,51.87162877
105.9258357,52.58566454
105.9219846,51.08520227
105.9166548,52.30417521
105.88847,51.18604041
105.8868644,51.93720955
105.8861595,51.14517301
105.8843904,52.48478083
105.8754807,51.81253644
105.8437197,51.25614361
105.8436752,51.67416638
105.8428274,51.52085322
105.8325251,51.8271622
105.831662,51.5206193
105.8196192,51.15391003
105.8175027,51.8973149
105.7963496,51.88473436
105.7961438,51.50336817
105.7945598,51.86125081
105.792738,51.52494223
105.7889002,51.26830271
105.7852842,51.64201815
105.7831,51.74162693
105.7750119,52.00777574
105.7744649,51.96040894
105.7716596,51.2801295
105.7649809,51.9649169
105.7614172,51.67623466
105.7485847,51.51067112
105.741724,51.40679295
105.7343955,52.24972769
105.7308166,51.99603478
105.7269256,52.10136835
105.7164738,51.49505908
105.7150446,51.3887039
105.7133928,51.64174271
105.7120869,51.68037981
105.7082421,51.92300103
105.6994003,51.89138774
105.6960696,51.49292506
105.6909541,51.4983394
105.6898033,51.56679809
105.68661,51.4019019
105.6860643,51.9882292
105.6731543,51.33020828
105.6654359,51.35451223
105.6557745,51.56645419
105.6543767,52.12901727
105.6541731,51.54918523
105.6426684,52.59820993
105.6381465,51.94868717
105.6338513,52.20330358
105.6324011,51.59531935
105.6289164,51.37607823
105.6227942,51.68123091
105.6221492,51.17319129
105.6101538,51.58891473
105.6059025,51.79475037
105.6034752,52.38389711
105.5913933,51.97808973
105.5787546,52.00164174
105.5731231,51.9743733
105.5628845,51.84838266
105.5604146,51.64180081
105.5549142,51.51472336
105.5476598,51.87685232
105.5426516,51.48947728
105.5419367,51.53780918
105.5240727,51.92624205
105.5238791,50.91404786
105.5123317,51.52363693
105.5115636,52.00005943
105.5034267,51.48956056
105.5031619,51.88145646
105.5027143,51.79649208
105.4945203,51.31418034
105.4851271,51.74630251
105.4763079,51.39664775
105.4753265,51.55544885
105.4719271,52.03744806
105.4685759,52.02574556
105.4671037,51.37279228
105.4584384,52.15687947
105.4494341,51.74297554
105.4485004,51.50366307
105.4400136,51.90898392
105.4262973,51.44749358
105.4245273,51.77640064
105.4192885,51.64020292
105.4136514,51.60752775
105.4117969,51.4026034
105.4093517,51.60003105
105.4075175,52.09689964
105.4021852,51.66961528
105.4010477,51.77594547
105.3957399,51.60332399
105.3955991,51.3812567
105.3939742,51.95982244
105.3888638,51.41102171
105.3664841,51.37403766
105.3643011,51.4023609
105.3551491,51.34422934
105.3447962,51.97454771
105.3377099,51.52255349
105.3349125,51.31216035
105.3346532,51.87226059
105.3336616,51.8015411
105.3269717,51.36432786
105.322545,51.0876131
105.3184068,51.61079056
105.3153068,52.16038668
105.3119271,51.2678925
105.3103082,51.2730667
105.3047324,51.42387368
105.2913894,51.62477592
105.2887062,51.59578701
105.2868469,51.41902451
105.2861529,51.50882026
105.2846487,51.44043631
105.2766936,52.04067075
